identification ID,cell line,Identified Protein,gene symbol,Accession Number,Molecular Weight,Protein Grouping Ambiguity,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-98,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-7-1,hsa-mir-7-2,hsa-mir-7-3,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-10b,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-18a,hsa-mir-18b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-25,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-31,hsa-mir-34a,hsa-mir-34b,hsa-mir-34c,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-122,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-138-1,hsa-mir-138-2,hsa-mir-140,hsa-mir-141,hsa-mir-143,hsa-mir-145,hsa-mir-155,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-205,hsa-mir-206,hsa-mir-214,hsa-mir-221,hsa-mir-222,hsa-mir-363,hsa-mir-429,hsa-mir-451
G-185,LN-229,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,5,4,7,12,7,5,5,5,5,8,8,3,3,2,3,6,4,6,7,7,4,4,5,2,2,6,,,9,6,2,4,5,4,3,3,4,,2,5,4,8,2,,,2,,4,3,,8,2,2,2,2,2,5,3,3,3,3,4,2,,3,,4,2,5,4,4,
B-199,MCF7,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,3,3,4,8,3,3,5,2,4,6,6,4,4,2,,2,2,3,3,2,2,4,6,2,3,5,2,3,12,6,3,,3,2,4,2,2,3,4,2,4,6,6,4,3,4,2,3,2,3,3,6,2,4,2,4,5,5,3,6,4,5,4,4,5,2,3,4,4,5,5,3
T-150,NTERA-2,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,2,3,,3,,,5,,,,,,,2,2,,,,,2,2,,2,3,6,,,,11,4,3,2,5,2,5,,,,,2,4,10,4,3,2,,2,4,2,2,2,4,4,2,2,4,6,4,8,3,4,2,5,2,2,2,6,4,3,2,2,2
R-197,Raji,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,2,3,2,4,,3,2,2,,4,3,,,,2,,,,3,,,,2,2,,,,,5,,,,2,,4,,,,,,3,4,,,,,,4,,,2,2,,,,,,,,,,,2,2,,,,2,5,2,,2
M-275,SK-MEL-28,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,4,5,,4,8,4,5,3,3,3,5,5,2,3,,3,3,5,5,,4,,2,2,3,3,,2,19,6,2,2,,,3,2,,2,2,4,2,3,2,,,4,2,,4,2,2,,,,3,6,5,,3,2,3,3,,,4,2,3,5,3,,,2
N-173,SK-N-MC,"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c [Homo sapiens]",TRA2B,gi|119598613,34 kDa,true,3,5,3,4,2,6,7,3,2,,3,5,4,3,5,3,5,2,10,2,,2,4,5,3,3,2,4,6,4,,2,5,3,3,3,2,,,3,2,4,4,4,5,2,2,5,4,4,2,6,4,3,7,4,5,5,4,4,4,3,6,6,3,4,6,3,2,2,5,2
C-1024,DLD-1,NEDD4-like E3 ubiquitin-protein ligase WWP1 [Homo sapiens],WWP1,gi|13654239,105 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1408,1",HEPG2,NEDD4-like E3 ubiquitin-protein ligase WWP1 [Homo sapiens],WWP1,gi|13654239,105 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-1052,4",DLD-1,NEDD4-like E3 ubiquitin-protein ligase WWP2 isoform 1 [Homo sapiens],WWP2,gi|40806207,99 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1424,1",HEPG2,NEDD4-like E3 ubiquitin-protein ligase WWP2 isoform 1 [Homo sapiens],WWP2,gi|40806207,99 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-788,5",NTERA-2,NEDD4-like E3 ubiquitin-protein ligase WWP2 isoform 1 [Homo sapiens],WWP2,gi|40806207,99 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-583,1",DLD-1,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-928,DU145,"cleavage and polyadenylation specific factor 1, 160kDa, isoform CRA_a [Homo sapiens]",CPSF1,gi|119602512,152 kDa,,,,,,,,2,,,2,2,,,,,,,,,,,,,,,,,,,,3,,2,2,,2,,,,,6,,,,8,,,3,,,,2,,,,,,,,,,,,,,,,,,,,
"H-521,2",HEPG2,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,2,3,,2,,,,,,,4,3,,,,,,,2,2,,4,,,2,39,38,,,,,,,,,,,,,,,14,,,3,4,4,,3,2,,,,2,,5,3,2,,,,,2,4,,,,,
"J-787,2",Jurkat,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-534,2",LN-229,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,4,,3,,2,,3,4,2,2,,,,,,,,,,,3,,2,,,2,2,2,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,2,,,2,,,,
"B-692,1",MCF7,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-526,SK-MEL-28,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,2,2,30,5,,,,,,,,,,,,,,,7,,,,,,,,,,,,2,,,,,,,,,,2,,,,,
"N-497,1",SK-N-MC,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],CPSF1,gi|56676371,161 kDa,,,,,,,,2,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,3,,,3,,2,,,,,,
C-745,DLD-1,cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens],CPSF2,gi|34101288,88 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-910,HEPG2,cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens],CPSF2,gi|34101288,88 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-901,1",LN-229,cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens],CPSF2,gi|34101288,88 kDa,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-693,MCF7,cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens],CPSF2,gi|34101288,88 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-729,SK-MEL-28,cleavage and polyadenylation specificity factor subunit 2 [Homo sapiens],CPSF2,gi|34101288,88 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-937,3",DLD-1,cleavage and polyadenylation specificity factor subunit 3 [Homo sapiens],CPSF3,gi|7706427,77 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1039,2",HEPG2,cleavage and polyadenylation specificity factor subunit 3 [Homo sapiens],CPSF3,gi|7706427,77 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-1008,3",MCF7,cleavage and polyadenylation specificity factor subunit 3 [Homo sapiens],CPSF3,gi|7706427,77 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1077,2",SK-MEL-28,cleavage and polyadenylation specificity factor subunit 3 [Homo sapiens],CPSF3,gi|7706427,77 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-956,DLD-1,cleavage and polyadenylation specificity factor subunit 4 isoform 1 [Homo sapiens],CPSF4,gi|5729939,30 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1877,2",DU145,cleavage and polyadenylation specificity factor subunit 4 isoform 1 [Homo sapiens],CPSF4,gi|5729939,30 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1270,HEPG2,CPSF4 protein [Homo sapiens],CPSF4,gi|29792109,27 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-1072,2",MCF7,cleavage and polyadenylation specificity factor subunit 4 isoform 1 [Homo sapiens],CPSF4,gi|5729939,30 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1114,2",SK-MEL-28,cleavage and polyadenylation specificity factor subunit 4 isoform 1 [Homo sapiens],CPSF4,gi|5729939,30 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L-342,4",A549,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,6,,,,,,,,,,,,,,,2,,,,,,2,2,2,4,9,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-536,1",DLD-1,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-919,4",DU145,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,6,,3,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,2,2
"H-437,1",HEPG2,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,2,3,3,17,2,2,2,2,2,2,3,,2,3,,2,,,,,,,,,,5,,5,34,28,3,2,,,2,2,,2,3,,,,,,,,3,2,2,4,,3,2,,2,6,3,3,2,7,2,,2,,3,3,4,,,,,6
"J-502,4",Jurkat,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
"G-660,5",LN-229,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,2,,,,,,,2,,,,,,,,,,3,2,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-474,4",MCF7,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,2,,,,,,,,,,,,,,,,,,,4,,,2,,3,10,,,,,,,2,,2,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-416,2",NTERA-2,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,18,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-910,2",SK-MEL-28,cleavage and polyadenylation specificity factor subunit 5 [Homo sapiens],NUDT21,gi|5901926,26 kDa,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L-601,4",A549,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-693,3",DLD-1,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1375,4",DU145,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-630,4",HEPG2,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,,50,36,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,,2,2,,,,,,,,,,,,
"J-793,4",Jurkat,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1155,3",LN-229,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-701,4",MCF7,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,,,15,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-419,4",NTERA-2,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,16,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R-590,4",Raji,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-773,3",SK-MEL-28,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N-769,4",SK-N-MC,cleavage and polyadenylation specificity factor subunit 6 [Homo sapiens],CPSF6,gi|162329583,59 kDa,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"L-432,2",A549,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,2,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"C-842,2",DLD-1,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1458,2",DU145,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-745,2",HEPG2,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,10,,,,,,,,,2,2,2,,,,,,,,,,,5,,6,20,11,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,6,,,,,,,,,,,,
"J-814,2",Jurkat,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1074,2",LN-229,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-749,2",MCF7,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,3,3,,,,,,,,,,,,3,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
"T-672,2",NTERA-2,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R-497,2",Raji,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1141,2",SK-MEL-28,cleavage and polyadenylation specificity factor subunit 7 isoform 1 [Homo sapiens],CPSF7,gi|217035102,56 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-1014,4",DLD-1,cleavage stimulation factor subunit 2 [Homo sapiens],CSTF2,gi|4557493,61 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-1032,3",MCF7,cleavage stimulation factor subunit 2 [Homo sapiens],CSTF2,gi|4557493,61 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1152,4",SK-MEL-28,cleavage stimulation factor subunit 2 [Homo sapiens],CSTF2,gi|4557493,61 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1349,1",DU145,cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens],CSTF3,gi|4557495,83 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"H-1426,1",HEPG2,cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens],CSTF3,gi|4557495,83 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-694,1",LN-229,cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens],CSTF3,gi|4557495,83 kDa,,,,2,,,,,,2,2,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"B-1082,1",MCF7,cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens],CSTF3,gi|4557495,83 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-947,1",SK-MEL-28,cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens],CSTF3,gi|4557495,83 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-772,3",DLD-1,pre-mRNA 3'-end-processing factor FIP1 isoform 1 [Homo sapiens],FIP1L1,gi|40254978,67 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1025,3",HEPG2,pre-mRNA 3'-end-processing factor FIP1 isoform 1 [Homo sapiens],FIP1L1,gi|40254978,67 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-616,5",LN-229,pre-mRNA 3'-end-processing factor FIP1 isoform 1 [Homo sapiens],FIP1L1,gi|40254978,67 kDa,,,,,2,,,,,,,3,,,,,,,,,2,,,2,,2,,,,,2,,,,,,,,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,2,,,2,,,,
"B-827,3",MCF7,pre-mRNA 3'-end-processing factor FIP1 isoform 1 [Homo sapiens],FIP1L1,gi|40254978,67 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-889,2",SK-MEL-28,pre-mRNA 3'-end-processing factor FIP1 isoform 1 [Homo sapiens],FIP1L1,gi|40254978,67 kDa,true,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-812,1",DLD-1,WD repeat-containing protein 33 isoform 1 [Homo sapiens],WDR33,gi|56243590,146 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1386,1",HEPG2,WD repeat-containing protein 33 isoform 1 [Homo sapiens],WDR33,gi|56243590,146 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1105,1",LN-229,WD repeat-containing protein 33 isoform 1 [Homo sapiens],WDR33,gi|56243590,146 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-987,1",MCF7,WD repeat-containing protein 33 isoform 1 [Homo sapiens],WDR33,gi|56243590,146 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-943,1",SK-MEL-28,WD repeat-containing protein 33 isoform 1 [Homo sapiens],WDR33,gi|56243590,146 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-707,DLD-1,symplekin [Homo sapiens],SYMPK,gi|124028529,141 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-962,DU145,symplekin [Homo sapiens],SYMPK,gi|124028529,141 kDa,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,3,3,,2,,,,,6,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,2,,
H-616,HEPG2,symplekin [Homo sapiens],SYMPK,gi|124028529,141 kDa,,,,3,2,,3,3,,,2,,,,2,,2,,,,,,,,,,2,,,28,24,,,2,,2,,,,,,,,,,7,,,,6,,,2,,,,,,,5,2,,,,2,,,4,,,,,
G-763,LN-229,symplekin [Homo sapiens],SYMPK,gi|124028529,141 kDa,,,,2,,,,,,,2,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-720,MCF7,unnamed protein product [Homo sapiens],SYMPK,gi|221043132,141 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-601,SK-MEL-28,symplekin [Homo sapiens],SYMPK,gi|124028529,141 kDa,,2,2,,,,2,,,,3,3,,,,,,,2,,3,,,3,,,,2,,20,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L-65,2",A549,bifunctional aminoacyl-tRNA synthetase [Homo sapiens],EPRS,gi|62241042,171 kDa,true,6,,9,,3,2,2,,6,4,33,,,,7,5,,5,,6,,35,9,,,,,,,3,74,,19,6,17,,,,,,,10,6,,,,,,3,,,,,,,,,,,,,,,,4,6,2,,,,,
"C-47,2",DLD-1,bifunctional aminoacyl-tRNA synthetase [Homo sapiens],EPRS,gi|62241042,171 kDa,true,,,57,4,,,2,2,8,11,61,3,3,,65,,3,,,,7,43,6,6,6,6,2,,2,17,43,,25,9,15,,,,2,,,51,62,3,4,11,5,7,51,,5,5,6,27,,2,2,,5,21,2,,2,2,78,2,,,,,3,
"P-100,2",DU145,bifunctional aminoacyl-tRNA synthetase [Homo sapiens],EPRS,gi|62241042,171 kDa,,,,9,,7,,3,,15,5,9,10,9,12,20,13,4,8,4,9,6,5,9,14,4,5,8,,4,5,35,9,12,18,26,20,5,,13,19,29,15,20,12,9,3,14,18,22,5,4,12,7,8,5,2,,16,4,5,7,2,7,12,11,2,14,5,14,5,20,28
